[ 50%] Built target vecmath
[100%] Built target PA1
Argument 1 is: testcases/cornell_2.txt
Argument 2 is: output/cornell.bmp
Argument 3 is: 1000

14:0:39 round : 1

14:0:52 round : 2

14:1:3 round : 3

14:1:15 round : 4

14:1:27 round : 5

14:1:39 round : 6

14:1:51 round : 7

14:2:2 round : 8

14:2:14 round : 9

14:2:26 round : 10

14:2:37 round : 11

14:2:49 round : 12

14:3:0 round : 13

14:3:12 round : 14

14:3:23 round : 15

14:3:35 round : 16

14:3:46 round : 17

14:3:57 round : 18

14:4:9 round : 19

14:4:20 round : 20

14:4:32 round : 21

14:4:43 round : 22

14:4:55 round : 23

14:5:6 round : 24

14:5:17 round : 25

14:5:29 round : 26

14:5:40 round : 27

14:5:52 round : 28

14:6:3 round : 29

14:6:15 round : 30

14:6:26 round : 31

14:6:37 round : 32

14:6:49 round : 33

14:7:0 round : 34

14:7:11 round : 35

14:7:23 round : 36

14:7:34 round : 37

14:7:45 round : 38

14:7:56 round : 39

14:8:7 round : 40

14:8:19 round : 41

14:8:30 round : 42

14:8:41 round : 43

14:8:52 round : 44

14:9:3 round : 45

14:9:14 round : 46

14:9:25 round : 47

14:9:37 round : 48

14:9:47 round : 49

14:9:58 round : 50

14:10:10 round : 51

14:10:21 round : 52

14:10:32 round : 53

14:10:43 round : 54

14:10:54 round : 55

14:11:5 round : 56

14:11:16 round : 57

14:11:27 round : 58

14:11:38 round : 59

14:11:50 round : 60

14:12:1 round : 61

14:12:11 round : 62

14:12:22 round : 63

14:12:34 round : 64

14:12:45 round : 65

14:12:56 round : 66

14:13:7 round : 67

14:13:18 round : 68

14:13:29 round : 69

14:13:40 round : 70

14:13:51 round : 71

14:14:2 round : 72

14:14:13 round : 73

14:14:24 round : 74

14:14:35 round : 75

14:14:46 round : 76

14:14:57 round : 77

14:15:8 round : 78

14:15:19 round : 79

14:15:30 round : 80

14:15:41 round : 81

14:15:52 round : 82

14:16:3 round : 83

14:16:14 round : 84

14:16:25 round : 85

14:16:36 round : 86

14:16:47 round : 87

14:16:58 round : 88

14:17:9 round : 89

14:17:20 round : 90

14:17:31 round : 91

14:17:42 round : 92

14:17:53 round : 93

14:18:4 round : 94

14:18:15 round : 95

14:18:26 round : 96

14:18:37 round : 97

14:18:47 round : 98

14:18:58 round : 99

14:19:9 round : 100

14:19:20 round : 101

14:19:31 round : 102

14:19:42 round : 103

14:19:53 round : 104

14:20:4 round : 105

14:20:15 round : 106

14:20:27 round : 107

14:20:37 round : 108

14:20:48 round : 109

14:20:59 round : 110

14:21:10 round : 111

14:21:21 round : 112

14:21:32 round : 113

14:21:43 round : 114

14:21:54 round : 115

14:22:5 round : 116

14:22:16 round : 117

14:22:27 round : 118

14:22:38 round : 119

14:22:49 round : 120

14:22:59 round : 121

14:23:10 round : 122

14:23:21 round : 123

14:23:32 round : 124

14:23:43 round : 125

14:23:54 round : 126

14:24:5 round : 127

14:24:16 round : 128

14:24:27 round : 129

14:24:38 round : 130

14:24:48 round : 131

14:24:59 round : 132

14:25:11 round : 133

14:25:21 round : 134

14:25:32 round : 135

14:25:43 round : 136

14:25:54 round : 137

14:26:4 round : 138

14:26:16 round : 139

14:26:27 round : 140

14:26:38 round : 141

14:26:49 round : 142

14:27:0 round : 143

14:27:11 round : 144

14:27:22 round : 145

14:27:33 round : 146

14:27:43 round : 147

14:27:54 round : 148

14:28:5 round : 149

14:28:16 round : 150

14:28:27 round : 151

14:28:38 round : 152

14:28:49 round : 153

14:28:59 round : 154

14:29:10 round : 155

14:29:21 round : 156

14:29:32 round : 157

14:29:43 round : 158
cornell.sh: line 19:  4813 Killed                  bin/PA1 testcases/cornell_2.txt output/cornell.bmp 1000
